created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-04-16 10:17:43,1383001651188019202,@zandook @TKHulk2 @2XXXSeries @Zedit55 @SenorQuintante @Ethanarc00 @ActingTheGom @EmeraldEnthusi1 @emersoncole8… https://t.co/I6oSpTXl6i,ollieisyms,Oli.K,Fri Aug 11 03:55:39 +0000 2017,"[{'url': 'https://t.co/I6oSpTXl6i', 'expanded_url': 'https://twitter.com/i/web/status/1383001651188019202', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]"
2021-04-16 10:15:02,1383000977859612675,@ActingTheGom You sound like it’s a choice: MHQ or dead,ABoguszewski,arturboguszewski,Fri Nov 11 15:18:12 +0000 2011,[]
2021-04-16 10:13:44,1383000648875192321,@Ant_if4 @Troscad_Dbarna @ActingTheGom @BrianDBourke Yup,ruillebuille,Laura,Fri May 01 14:22:17 +0000 2009,[]
2021-04-16 10:13:21,1383000551433064448,@ruillebuille @Troscad_Dbarna @ActingTheGom @BrianDBourke He’s never had a thing to say about migrants or homeless… https://t.co/SRC1zsQL5h,Ant_if4,Marcos,Fri Aug 23 01:36:42 +0000 2013,"[{'url': 'https://t.co/SRC1zsQL5h', 'expanded_url': 'https://twitter.com/i/web/status/1383000551433064448', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2021-04-16 10:13:12,1383000516079329285,"RT @ActingTheGom: Please stop whining about the minor inconvenience MHQ is, death is a slightly larger one, last time I checked.",Old_Crone5,Old Crone5🏴‍☠️,Sat Feb 09 12:24:48 +0000 2019,[]
2021-04-16 10:12:36,1383000364383932417,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",BombaWomba99,BombaWomba,Thu Sep 12 15:23:14 +0000 2013,[]
2021-04-16 10:11:40,1383000129058275334,"RT @ActingTheGom: Please stop whining about the minor inconvenience MHQ is, death is a slightly larger one, last time I checked.",BombaWomba99,BombaWomba,Thu Sep 12 15:23:14 +0000 2013,[]
2021-04-16 10:11:32,1383000095453483008,RT @ActingTheGom: Powerful performance by MM https://t.co/DrHputnFRO,turboWagon616,Above Us Only Sky #FSGOut,Tue May 19 17:29:52 +0000 2009,[]
2021-04-16 10:06:48,1382998905474969603,"@Ciarasho @ActingTheGom I remember the first 10 days of my life so well, my environment was much more important tha… https://t.co/lO6hzIVrOh",evelynharte,The Harte Files,Fri Mar 23 22:00:39 +0000 2012,"[{'url': 'https://t.co/lO6hzIVrOh', 'expanded_url': 'https://twitter.com/i/web/status/1382998905474969603', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 10:05:46,1382998645641973761,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",KevinSharpe59,Kevin Sharpe,Mon Sep 06 13:13:47 +0000 2010,[]
